Food Item (खाद्य पदार्थ),Category (श्रेणी),Calories (per 100g),Protein (g),Carbs (g),Fat (g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects)
Fenugreek Seeds (मेथी दाना),Spice,323,23,58,6,Bitter (तिक्त),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances K. Increases P, V.",Controls blood sugar.
Mustard Seeds (सरसों),Spice,508,26,28,36,Pungent (कटु),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances K. Increases P, V.",Stimulates appetite.
Asafoetida (हींग),Spice,297,4,67,1,Pungent (कटु),Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K. Increases P, V.",Strong digestive aid.
Saffron (केसर),Spice,310,11,65,6,"Bitter, Sweet (तिक्त, मधुर)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V, K.",Enhances complexion.
Sesame Seeds (तिल),Seed,573,18,23,50,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in calcium.
Flax Seeds (अलसी),Seed,534,18,28,42,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in omega-3.
Sunflower Seeds (सूरजमुखी बीज),Seed,584,21,20,51,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in vitamin E.
Pumpkin Seeds (कद्दू के बीज),Seed,559,19,11,49,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Good for urinary health.
Chia Seeds (चिया बीज),Seed,486,17,42,31,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Hydrating.
Poppy Seeds (खसखस),Seed,525,18,28,42,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Nervine tonic.
Watermelon Seeds (तरबूज के बीज),Seed,557,28,15,47,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Rich in protein.
Cantaloupe Seeds (खरबूजे के बीज),Seed,536,20,28,43,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Nutritious.
Lotus Seeds (मखाना),Seed,350,9,77,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Increases K.,Good for kidneys.
Almond (बादाम),Nut,576,21,22,49,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Brain tonic.
Cashew (काजू),Nut,553,18,30,44,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Energy-dense.
Pistachio (पिस्ता),Nut,562,20,28,45,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Good for heart.
Walnut (अखरोट),Nut,654,15,14,65,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in omega-3.
Peanut (मूंगफली),Nut/Legume,567,25,16,49,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Affordable protein source.
Hazelnut (हैज़लनट),Nut,628,15,17,61,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in vitamin E.
Brazil Nut (ब्राजील नट),Nut,656,14,12,66,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",High selenium.
Pine Nut (चिलगोजा),Nut,673,14,13,68,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in antioxidants.
Macadamia (मैकडामिया),Nut,718,8,14,76,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Very high fat content.
Chestnut (शाहबलूत),Nut,245,2,53,1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.","Low fat nut, eaten roasted."
Coconut (Dry) (सूखा नारियल),Nut,660,7,24,65,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Strengthens tissues.
Fresh Coconut (ताजा नारियल),Fruit/Nut,354,3,15,33,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P, V. Increases K.","Hydrating, cooling."
Coconut Water (नारियल पानी),Drink,19,0.7,3.7,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Excellent for dehydration.
Raisins (किशमिश),Dry Fruit,299,3,79,0.5,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Balances V. Increases K.,Mild laxative.
Dates (खजूर),Dry Fruit,277,2,75,0.2,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Instant energy.
Figs (अंजीर),Dry Fruit,249,3,64,1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Good for digestion.
Prunes (सूखे आलूबुखारा),Dry Fruit,240,2.2,64,0.4,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V. Increases P, K.",Laxative.
Apricot (सूखा खुबानी),Dry Fruit,241,3.4,63,0.5,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Rich in vitamin A.
Mulberry (शहतूत),Fruit,43,1.4,10,0.4,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Blood purifier.
Jamun (जामुन),Fruit,60,1,15,0.2,"Astringent, Sour (कषाय, अम्ल)",Cooling (शीत),Light (लघु),Pungent (कटु),"Balances P, K. Increases V.",Good for diabetes.
Bael Fruit (बेल),Fruit,137,2,31,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases V, K.",Excellent for digestion.
Wood Apple (कैथ),Fruit,140,2,30,0.4,"Sour, Astringent (अम्ल, कषाय)",Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances K. Increases V, P.",Strengthens intestines.
Tamarind (इमली),Fruit,239,3,63,0.6,Sour (अम्ल),Heating (उष्ण),Heavy (गुरु),Sour (अम्ल),"Balances V. Increases P, K.",Strongly sour.
Starfruit (कमरख),Fruit,31,1,7,0.3,"Sour, Astringent (अम्ल, कषाय)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P. Increases V, K.",Rich in vitamin C.
Passion Fruit (कृष्ण फल),Fruit,97,2,23,0.4,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V.",Rich in antioxidants.
Kiwi (कीवी),Fruit,61,1,15,0.5,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sour (अम्ल),Balances P. Increases V.,High vitamin C.
Dragon Fruit (पिताया),Fruit,60,1.2,13,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V.",Good for immunity.
Avocado (मक्खन फल),Fruit,160,2,9,15,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Balances V. Increases K.,Rich in healthy fats.
Guava (अमरूद),Fruit,68,2.6,14,1,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Rich in vitamin C.
Litchi (लीची),Fruit,66,0.8,17,0.4,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Balances P. Increases V.,Refreshing fruit.
Rambutan (रामबूटन),Fruit,68,0.9,16,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Increases V.,Similar to litchi.
Longan (लॉन्गन),Fruit,60,1,15,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V.",Blood tonic.
Persimmon (तेंदू),Fruit,81,0.6,18,0.3,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in vitamin A.
Pomegranate (अनार),Fruit,83,1.7,19,1.2,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Blood purifier.
Black Currant (ब्लैक करंट),Dry Fruit,282,4,73,0.5,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Rich in vitamin C.
Gooseberry (Amla) (आंवला),Fruit,44,1,10,0.6,Sour (अम्ल),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas.,Rejuvenating fruit.
Hog Plum (अमड़ा),Fruit,42,0.5,10,0.3,Sour (अम्ल),Heating (उष्ण),Light (लघु),Sour (अम्ल),"Balances V. Increases P, K.",Used in chutneys.
Loquat (लोकाट),Fruit,47,0.4,12,0.2,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V.",Mildly laxative.
Sapodilla (Chikoo) (चीकू),Fruit,83,0.4,20,1.1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Rich in sugar.
Custard Apple (सीताफल),Fruit,94,2.1,23,0.3,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Balances V. Increases K.,Nourishing.
Soursop (लक्ष्मण फल),Fruit,66,1,17,0.3,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V.",Used medicinally.
Jackfruit (कटहल),Fruit,95,2,23,0.6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Nourishing fruit.
Durian (ड्यूरियन),Fruit,147,1.5,27,5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Strong odor fruit.
Chempedak (चेम्पेडक),Fruit,120,2,27,0.8,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Increases K.,Closely related to jackfruit.
Breadfruit (कदम फल),Fruit,103,1.1,27,0.2,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P. Increases K, V.",Starchy fruit.
Plantain (कच्चा केला),Fruit/Vegetable,122,1.3,31,0.3,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Increases K.,Cooked as vegetable.
Banana (केला),Fruit,89,1.1,23,0.3,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Balances V. Increases K.,Quick energy.
Red Banana (लाल केला),Fruit,90,1,23,0.4,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Balances V. Increases K.,Rich in antioxidants.
Apple (सेब),Fruit,52,0.3,14,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Good for digestion.
Pear (नाशपाती),Fruit,57,0.4,15,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Hydrating.
Peach (आड़ू),Fruit,39,0.9,10,0.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Increases V, K.",Juicy summer fruit.
Plum (आलूबुखारा),Fruit,46,0.7,11,0.3,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances P. Increases V, K.",Improves digestion.
Cherry (चेरी),Fruit,63,1,16,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Rich in antioxidants.
Foxnuts (मखाना),Seeds & Nuts,347,9.7,76.9,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Good snack, calming for mind."
Jackfruit Seeds (कटहल बीज),Seeds & Nuts,184,7,38.4,0.4,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V, K. Can increase P.","Nutritious, improves digestion."
Chironji Seeds (चिरौंजी),Seeds & Nuts,656,19,12,59,Sweet (मधुर),Heating (उष्ण),"Unctuous, Heavy (स्निग्ध, गुरु)",Sweet (मधुर),"Balances V. Increases K, P.","Tonic, used in sweets."
Lotus Seeds (कमल गट्टा),Seeds & Nuts,350,9.5,77,0.5,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P. Can increase V, K.","Strengthens kidneys, calming."
Pumpkin Seeds (कद्दू बीज),Seeds & Nuts,559,30,11,49,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Unctuous (स्निग्ध),Sweet (मधुर),"Balances V. Increases K, P.","Rich in zinc, supports immunity."
Watermelon Seeds (तरबूज बीज),Seeds & Nuts,557,28,15,47,Sweet (मधुर),Cooling (शीत),"Unctuous, Light (स्निग्ध, लघु)",Sweet (मधुर),Balances P. Increases K.,"Cooling, beneficial for urinary tract."
Cucumber Seeds (खीरा बीज),Seeds & Nuts,500,27,15,42,Sweet (मधुर),Cooling (शीत),"Light, Unctuous (लघु, स्निग्ध)",Sweet (मधुर),Balances P. Can increase K.,"Soothing, good in summer."
Sesame Seeds Black (काला तिल),Seeds & Nuts,573,17,23,49,"Sweet, Bitter (मधुर, तिक्त)",Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases K, P.","Strengthens bones, hair, skin."
Sesame Seeds White (सफेद तिल),Seeds & Nuts,573,18,23,49,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases K, P.","Nutritive, improves complexion."
Flax Seeds (अलसी),Seeds & Nuts,534,18,29,42,"Astringent, Bitter (कषाय, तिक्त)",Heating (उष्ण),"Unctuous, Heavy (स्निग्ध, गुरु)",Pungent (कटु),"Balances V. Increases K, P.",Rich in omega-3 fatty acids.
Sunflower Seeds (सूरजमुखी बीज),Seeds & Nuts,584,21,20,51,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases K, P.",Good for heart and skin.
Poppy Seeds (खसखस),Seeds & Nuts,525,18,28,42,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),Balances P. Increases K.,"Calming, promotes sleep."
Nigella Seeds (कलौंजी),Seeds & Nuts,375,17,44,22,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),"Sharp, Light (तीक्ष्ण, लघु)",Pungent (कटु),"Balances K, V. Increases P.","Improves digestion, immunity."
Hemp Seeds (भांग बीज),Seeds & Nuts,553,31,8.7,48,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases K, P.","Rich in protein, boosts energy."
Chia Seeds (चिया बीज),Seeds & Nuts,486,17,42,31,Sweet (मधुर),Cooling (शीत),"Light, Unctuous (लघु, स्निग्ध)",Sweet (मधुर),"Balances P, V. Increases K.","Rich in fiber, hydrating."
Mustard Seeds (सरसों दाना),Seeds & Nuts,508,26,28,36,Pungent (कटु),Heating (उष्ण),"Sharp, Unctuous (तीक्ष्ण, स्निग्ध)",Pungent (कटु),"Balances K. Increases P, V.",Stimulates digestion.
